Sales of Wheat in tons,pca_1,pca_2,cluster
Netherlands,-719.9530313569408,24.38226706096186,0
Netherlands Antilles,-668.8953223535142,13.53982567546932,0
New Caledonia,-495.50772919645124,-82.87792953441408,7
New Zealand,-710.9470097316263,29.38130116757651,0
Nicaragua,-350.56457758246125,-76.19408440088581,7
Niger,509.9948621315094,-41.40419870636518,1
Nigeria,1129.5096299842144,433.1874541658303,5
Niue,-400.3178787700629,-65.02927831191393,7
Northern Mariana Islands,-40.51396114115578,-203.78249289276127,2
Norway,-728.1828652625603,25.308058460473735,0
Oman,-673.2242116656947,1.6779044527501554,0
Pakistan,870.9220331921697,-186.4772808849263,3
Palau,-220.8450483986722,-119.78758131388034,2
Panama,-499.94635263744357,-16.25662600544519,7
Papua New Guinea,1286.2669308097952,-57.376621691819764,3
Paraguay,-384.962299204467,12.027393741175576,7
Peru,271.1609692605999,-288.3854815959161,1
Philippines,1978.7473096190506,-411.89231847989083,6
Poland,-502.3526983664785,-64.99723666118469,7
Portugal,-593.0754803498327,-3.5340427617550674,0
Puerto Rico,-704.0402516481021,10.528827234930862,0
Qatar,-427.3820093989753,25.383504053417518,7
"Korea, Rep.",-198.43164745383422,-64.09885196105435,2
Moldova,-96.13676673405564,123.2768997573986,2
Romania,-69.7292072849461,68.23770433013735,2
Russian Federation,-240.18522200003827,119.5506289589621,2
Rwanda,953.6141069863125,654.6898698630877,5
Saint Kitts and Nevis,-691.4130214386661,25.222430175485286,0
Saint Lucia,-665.0544110645781,17.70970025652562,0
Saint Vincent and the Grenadines,-585.518620446741,15.242229157292794,0
Samoa,-618.778859507688,16.329410857857493,0
San Marino,-724.660897182635,25.54555238838144,0
Sao Tome and Principe,455.45390919958396,-96.9252960957175,1
Saudi Arabia,-476.68820459324655,25.455007681866476,7
Senegal,997.8641011698539,154.23756115726016,5
Seychelles,-435.63669839280425,-58.43970626003684,7
Sierra Leone,2021.419070180238,626.074602759639,4
Singapore,-575.770861925488,-8.916106451791705,0
Slovakia,-587.8187589144169,-28.686897469122684,0
Slovenia,-602.278120556123,-40.48427008660375,0
Solomon Islands,804.9327290211344,-561.8610758380353,3
Somalia,1160.4545073168933,-371.24733207024997,3
South Africa,1790.6393533957726,42.32388807088891,8
Spain,-622.540552343483,3.6942398666153657,0
Sri Lanka,-352.948818539133,-5.158394406180771,7
Sudan,911.0088401358846,-26.285830050696052,3
Suriname,-286.94778230521894,107.32430043820762,7
Swaziland,1953.662725922028,493.49570231722663,4
Sweden,-733.1128898491115,28.676610636838962,0
Switzerland,-717.3969145290871,19.48401983111062,0
Syrian Arab Republic,-520.8300838618018,-64.97869353601749,7
Tajikistan,59.08110386992826,299.9080636860116,2
Thailand,292.13934040072826,-193.98745239733688,1
"Macedonia, FYR",-492.16349066077174,-64.0786679029691,7
Timor-Leste,1628.8735322578634,-495.4119447410014,8
Togo,2101.963660675979,102.09437798608691,8
Tokelau,-452.4216913260296,-161.91207449075026,7
Tonga,-592.3808922247982,14.485859988680811,0
Trinidad and Tobago,-685.9837157944686,27.742645731943885,0
Tunisia,-591.4698312740767,-11.783528607499012,0
Turkey,-511.82407678158967,-32.739593178996955,7
Turkmenistan,-312.40185980424883,27.658217855297167,7
Turks and Caicos Islands,-638.3761613211126,0.1645574488936389,0
Tuvalu,1082.9963701117726,-404.74573654461807,3
Uganda,915.6852972991992,223.92515132456066,9
Ukraine,-332.2090192015595,117.95745689440656,7
United Arab Emirates,-616.6863889204109,0.3029118780652737,0
United Kingdom,-711.6563234458964,32.56583686477134,0
Tanzania,596.0055280884275,234.59623323656734,9
Virgin Islands (U.S.),-666.0136027457096,13.679841438889454,0
United States of America,-731.7247495574799,24.70353191583253,0
Uruguay,-633.5132848187553,15.651710002492102,0
Uzbekistan,-204.9920363403691,87.0391342377568,2
Vanuatu,34.2336874393096,-225.44437533692874,2
Venezuela,-579.0304982049026,20.8828035857862,0
Viet Nam,445.00232419946457,-208.49837312877762,1
Wallis et Futuna,-218.68873619703106,-110.47808842123474,2
West Bank and Gaza,-568.6072718602479,-4.491325973899357,0
Yemen,70.19216371561727,-189.10809629217547,2
Zambia,1519.3935480894972,-45.40482692989221,8
Zimbabwe,1425.224634879629,421.5604193315689,5
